stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
930575,jon,C,Female,Hispanic,LEP,No,2,No,1547,Approaches
930576,caro,T,Male,Hispanic,LEP,No,0,No,1297,Notapproach
930576,caro,T,Male,Hispanic,LEP,No,1,No,1356,Notapproach
930579,caro,T,Female,Hispanic,firstyear,No,0,No,1667,Masters
930579,caro,T,Female,Hispanic,firstyear,No,1,No,1697,Masters
930586,caro,T,Female,Hispanic,LEP,No,0,No,1419,Approaches
930586,caro,T,Female,Hispanic,LEP,No,1,No,1480,Approaches
930586,caro,T,Female,Hispanic,LEP,No,2,No,1517,Approaches
930589,caro,T,Male,Hispanic,LEP,No,1,No,1383,Notapproach
930589,caro,T,Male,Hispanic,LEP,No,2,No,1450,Notapproach
930591,jon,C,Female,Hispanic,NotLEP,No,2,No,1582,Meets
930594,bus,C,Male,Hispanic,NotLEP,No,0,No,1577,Masters
930595,caro,T,Male,Hispanic,LEP,No,0,No,1282,Notapproach
930595,caro,T,Male,Hispanic,LEP,No,1,No,1411,Notapproach
930597,jon,C,Male,Hispanic,LEP,No,0,Yes,1367,Approaches
930597,jon,C,Male,Hispanic,LEP,No,1,No,1510,Approaches
930605,caro,T,Male,Hispanic,LEP,No,0,No,1159,Notapproach
930607,caro,T,Male,Hispanic,LEP,No,0,Yes,1210,Notapproach
930607,caro,T,Male,Hispanic,LEP,No,1,No,1311,Notapproach
930607,caro,T,Male,Hispanic,LEP,No,2,No,1450,Notapproach
930612,bus,C,Male,Hispanic,LEP,No,0,Yes,1229,Notapproach
930612,bus,C,Male,Hispanic,LEP,No,1,Yes,1375,Notapproach
930612,bus,C,Male,Hispanic,LEP,No,2,Yes,1659,Meets
930614,jon,C,Female,Hispanic,NotLEP,No,2,No,1698,Masters
930615,caro,T,Male,Hispanic,secondyear,No,0,No,1468,Meets
930616,bus,C,Female,Hispanic,LEP,No,0,No,1282,Notapproach
930616,bus,C,Female,Hispanic,LEP,No,1,No,1397,Notapproach
930616,bus,C,Female,Hispanic,LEP,No,2,No,1411,Notapproach
930619,jon,C,Male,Hispanic,LEP,Yes,0,Yes,1127,Notapproach
930619,jon,C,Male,Hispanic,LEP,Yes,1,No,1239,Notapproach
930623,caro,T,Female,Hispanic,NotLEP,No,0,No,1577,Masters
930623,caro,T,Female,Hispanic,NotLEP,No,1,No,1659,Masters
930623,caro,T,Female,Hispanic,NotLEP,No,2,No,1698,Masters
930624,har,C,Female,Hispanic,LEP,No,0,No,1356,Approaches
930624,har,C,Female,Hispanic,LEP,No,2,No,1532,Approaches
930625,caro,T,Female,Hispanic,LEP,No,0,No,1403,Approaches
930625,caro,T,Female,Hispanic,LEP,No,1,No,1370,Notapproach
930633,bla,T,Female,Hispanic,LEP,Yes,0,Yes,1127,Notapproach
930642,bus,C,Male,Hispanic,secondyear,No,0,No,1387,Approaches
930642,bus,C,Male,Hispanic,secondyear,No,1,No,1495,Approaches
930642,bus,C,Male,Hispanic,secondyear,No,2,No,1698,Masters
930647,jon,C,Female,Hispanic,NotLEP,No,0,No,1519,Meets
930647,jon,C,Female,Hispanic,NotLEP,No,1,No,1480,Approaches
930648,bla,T,Female,Hispanic,secondyear,No,0,No,1345,Approaches
930648,bla,T,Female,Hispanic,secondyear,No,1,No,1465,Approaches
930648,bla,T,Female,Hispanic,secondyear,No,2,No,1642,Meets
930650,caro,T,Female,Hispanic,LEP,No,0,No,1437,Approaches
930650,caro,T,Female,Hispanic,LEP,No,1,No,1383,Notapproach
930650,caro,T,Female,Hispanic,LEP,No,2,No,1470,Approaches
930653,jon,C,Female,Hispanic,LEP,No,0,Yes,1246,Notapproach
930653,jon,C,Female,Hispanic,LEP,No,1,No,1370,Notapproach
930663,caro,T,Female,Hispanic,LEP,No,0,No,1372,Approaches
930663,caro,T,Female,Hispanic,LEP,No,1,No,1370,Notapproach
930663,caro,T,Female,Hispanic,LEP,No,2,No,1642,Meets
930666,bus,C,Female,Hispanic,LEP,No,0,No,1251,Notapproach
930666,bus,C,Female,Hispanic,LEP,No,1,No,1259,Notapproach
930666,bus,C,Female,Hispanic,LEP,No,2,No,1450,Notapproach
930671,bla,T,Male,Hispanic,firstyear,No,0,Yes,1281,Notapproach
930671,bla,T,Male,Hispanic,firstyear,No,1,No,1434,Approaches
930671,bla,T,Male,Hispanic,firstyear,No,2,No,1424,Notapproach
930672,bus,C,Male,Hispanic,firstyear,No,0,No,1372,Approaches
930672,bus,C,Male,Hispanic,firstyear,No,1,No,1465,Approaches
930672,bus,C,Male,Hispanic,firstyear,No,2,No,1470,Approaches
930689,carm,T,Male,Hispanic,secondyear,No,0,No,1356,Approaches
930689,carm,T,Male,Hispanic,secondyear,No,1,No,1451,Approaches
930690,bla,T,Female,Hispanic,LEP,No,0,Yes,1444,Meets
930690,bla,T,Female,Hispanic,LEP,No,1,No,1383,Notapproach
930690,bla,T,Female,Hispanic,LEP,No,2,No,1424,Notapproach
930691,bus,C,Male,Hispanic,LEP,No,0,Yes,1150,Notapproach
930692,caro,T,Female,Hispanic,LEP,No,0,No,1282,Notapproach
930692,caro,T,Female,Hispanic,LEP,No,1,No,1383,Notapproach
930692,caro,T,Female,Hispanic,LEP,No,2,No,1450,Notapproach
930693,bus,C,Male,Hispanic,firstyear,No,0,Yes,1467,Meets
